ID,total_workouts,train_count,val_count,test_count,train_pct,val_pct,test_pct
411,1,1,0,0,100.0%,0.0%,0.0%
413,1,1,0,0,100.0%,0.0%,0.0%
415,1,1,0,0,100.0%,0.0%,0.0%
418,1,1,0,0,100.0%,0.0%,0.0%
419,1,1,0,0,100.0%,0.0%,0.0%
421,1,1,0,0,100.0%,0.0%,0.0%
422,1,1,0,0,100.0%,0.0%,0.0%
423,1,1,0,0,100.0%,0.0%,0.0%
424,1,1,0,0,100.0%,0.0%,0.0%
425,1,1,0,0,100.0%,0.0%,0.0%
427,1,1,0,0,100.0%,0.0%,0.0%
428,1,1,0,0,100.0%,0.0%,0.0%
429,1,1,0,0,100.0%,0.0%,0.0%
430,1,1,0,0,100.0%,0.0%,0.0%
432,1,1,0,0,100.0%,0.0%,0.0%
433,1,1,0,0,100.0%,0.0%,0.0%
434,1,1,0,0,100.0%,0.0%,0.0%
435,1,1,0,0,100.0%,0.0%,0.0%
436,1,1,0,0,100.0%,0.0%,0.0%
437,1,1,0,0,100.0%,0.0%,0.0%
438,1,1,0,0,100.0%,0.0%,0.0%
439,1,1,0,0,100.0%,0.0%,0.0%
440,1,1,0,0,100.0%,0.0%,0.0%
441,1,1,0,0,100.0%,0.0%,0.0%
443,1,0,1,0,0.0%,100.0%,0.0%
445,1,0,1,0,0.0%,100.0%,0.0%
446,1,0,1,0,0.0%,100.0%,0.0%
447,1,0,1,0,0.0%,100.0%,0.0%
448,1,0,1,0,0.0%,100.0%,0.0%
450,1,0,1,0,0.0%,100.0%,0.0%
452,1,0,1,0,0.0%,100.0%,0.0%
453,1,0,1,0,0.0%,100.0%,0.0%
454,1,0,1,0,0.0%,100.0%,0.0%
455,1,0,1,0,0.0%,100.0%,0.0%
456,1,0,1,0,0.0%,100.0%,0.0%
457,1,0,1,0,0.0%,100.0%,0.0%
458,1,0,1,0,0.0%,100.0%,0.0%
459,1,0,1,0,0.0%,100.0%,0.0%
460,1,0,1,0,0.0%,100.0%,0.0%
461,1,0,1,0,0.0%,100.0%,0.0%
462,1,0,1,0,0.0%,100.0%,0.0%
463,1,0,1,0,0.0%,100.0%,0.0%
465,1,0,1,0,0.0%,100.0%,0.0%
466,1,0,1,0,0.0%,100.0%,0.0%
467,1,0,1,0,0.0%,100.0%,0.0%
469,1,0,1,0,0.0%,100.0%,0.0%
470,1,0,1,0,0.0%,100.0%,0.0%
471,1,0,1,0,0.0%,100.0%,0.0%
472,1,0,1,0,0.0%,100.0%,0.0%
473,1,0,1,0,0.0%,100.0%,0.0%
474,1,0,1,0,0.0%,100.0%,0.0%
475,1,0,1,0,0.0%,100.0%,0.0%
476,1,0,1,0,0.0%,100.0%,0.0%
477,1,0,1,0,0.0%,100.0%,0.0%
478,1,0,1,0,0.0%,100.0%,0.0%
480,1,0,1,0,0.0%,100.0%,0.0%
481,1,0,1,0,0.0%,100.0%,0.0%
482,1,0,1,0,0.0%,100.0%,0.0%
484,1,0,1,0,0.0%,100.0%,0.0%
486,1,0,1,0,0.0%,100.0%,0.0%
488,1,0,1,0,0.0%,100.0%,0.0%
490,1,0,1,0,0.0%,100.0%,0.0%
495,1,0,1,0,0.0%,100.0%,0.0%
496,1,0,1,0,0.0%,100.0%,0.0%
497,1,0,1,0,0.0%,100.0%,0.0%
498,1,0,1,0,0.0%,100.0%,0.0%
500,1,0,1,0,0.0%,100.0%,0.0%
505,1,0,1,0,0.0%,100.0%,0.0%
507,1,0,1,0,0.0%,100.0%,0.0%
508,1,0,1,0,0.0%,100.0%,0.0%
509,1,0,1,0,0.0%,100.0%,0.0%
512,1,0,1,0,0.0%,100.0%,0.0%
513,1,0,1,0,0.0%,100.0%,0.0%
514,1,0,1,0,0.0%,100.0%,0.0%
515,1,0,1,0,0.0%,100.0%,0.0%
516,1,0,1,0,0.0%,100.0%,0.0%
517,1,0,1,0,0.0%,100.0%,0.0%
518,1,0,1,0,0.0%,100.0%,0.0%
519,1,0,1,0,0.0%,100.0%,0.0%
522,1,0,1,0,0.0%,100.0%,0.0%
524,1,0,1,0,0.0%,100.0%,0.0%
525,1,0,1,0,0.0%,100.0%,0.0%
526,1,0,1,0,0.0%,100.0%,0.0%
527,1,0,1,0,0.0%,100.0%,0.0%
528,1,0,1,0,0.0%,100.0%,0.0%
530,1,0,1,0,0.0%,100.0%,0.0%
532,1,0,1,0,0.0%,100.0%,0.0%
533,1,0,1,0,0.0%,100.0%,0.0%
537,1,0,1,0,0.0%,100.0%,0.0%
538,1,0,1,0,0.0%,100.0%,0.0%
539,1,0,1,0,0.0%,100.0%,0.0%
540,1,0,1,0,0.0%,100.0%,0.0%
541,1,0,1,0,0.0%,100.0%,0.0%
546,1,0,1,0,0.0%,100.0%,0.0%
547,1,0,1,0,0.0%,100.0%,0.0%
548,1,0,1,0,0.0%,100.0%,0.0%
549,1,0,1,0,0.0%,100.0%,0.0%
554,1,0,1,0,0.0%,100.0%,0.0%
555,1,0,1,0,0.0%,100.0%,0.0%
556,1,0,1,0,0.0%,100.0%,0.0%
559,1,0,1,0,0.0%,100.0%,0.0%
561,1,0,1,0,0.0%,100.0%,0.0%
562,1,0,1,0,0.0%,100.0%,0.0%
564,1,0,1,0,0.0%,100.0%,0.0%
565,1,0,1,0,0.0%,100.0%,0.0%
566,1,0,1,0,0.0%,100.0%,0.0%
567,1,0,1,0,0.0%,100.0%,0.0%
568,1,0,1,0,0.0%,100.0%,0.0%
569,1,0,1,0,0.0%,100.0%,0.0%
570,1,0,1,0,0.0%,100.0%,0.0%
571,1,0,1,0,0.0%,100.0%,0.0%
573,1,0,1,0,0.0%,100.0%,0.0%
574,1,0,1,0,0.0%,100.0%,0.0%
575,1,0,1,0,0.0%,100.0%,0.0%
576,1,0,1,0,0.0%,100.0%,0.0%
580,1,0,1,0,0.0%,100.0%,0.0%
581,1,0,1,0,0.0%,100.0%,0.0%
582,1,0,1,0,0.0%,100.0%,0.0%
583,1,0,1,0,0.0%,100.0%,0.0%
584,1,0,1,0,0.0%,100.0%,0.0%
585,1,0,1,0,0.0%,100.0%,0.0%
586,1,0,1,0,0.0%,100.0%,0.0%
587,1,0,1,0,0.0%,100.0%,0.0%
589,1,0,1,0,0.0%,100.0%,0.0%
590,1,0,1,0,0.0%,100.0%,0.0%
594,1,0,1,0,0.0%,100.0%,0.0%
597,1,0,1,0,0.0%,100.0%,0.0%
599,1,0,1,0,0.0%,100.0%,0.0%
601,1,0,1,0,0.0%,100.0%,0.0%
603,1,0,1,0,0.0%,100.0%,0.0%
606,1,0,0,1,0.0%,0.0%,100.0%
608,1,0,0,1,0.0%,0.0%,100.0%
610,1,0,0,1,0.0%,0.0%,100.0%
613,1,0,0,1,0.0%,0.0%,100.0%
618,1,0,0,1,0.0%,0.0%,100.0%
619,1,0,0,1,0.0%,0.0%,100.0%
622,1,0,0,1,0.0%,0.0%,100.0%
623,1,0,0,1,0.0%,0.0%,100.0%
624,1,0,0,1,0.0%,0.0%,100.0%
625,1,0,0,1,0.0%,0.0%,100.0%
626,1,0,0,1,0.0%,0.0%,100.0%
628,1,0,0,1,0.0%,0.0%,100.0%
630,1,0,0,1,0.0%,0.0%,100.0%
634,1,0,0,1,0.0%,0.0%,100.0%
636,1,0,0,1,0.0%,0.0%,100.0%
637,1,0,0,1,0.0%,0.0%,100.0%
639,1,0,0,1,0.0%,0.0%,100.0%
640,1,0,0,1,0.0%,0.0%,100.0%
641,1,0,0,1,0.0%,0.0%,100.0%
644,1,0,0,1,0.0%,0.0%,100.0%
645,1,0,0,1,0.0%,0.0%,100.0%
647,1,0,0,1,0.0%,0.0%,100.0%
648,1,0,0,1,0.0%,0.0%,100.0%
652,1,0,0,1,0.0%,0.0%,100.0%
653,1,0,0,1,0.0%,0.0%,100.0%
654,1,0,0,1,0.0%,0.0%,100.0%
656,1,0,0,1,0.0%,0.0%,100.0%
657,1,0,0,1,0.0%,0.0%,100.0%
660,1,0,0,1,0.0%,0.0%,100.0%
662,1,0,0,1,0.0%,0.0%,100.0%
663,1,0,0,1,0.0%,0.0%,100.0%
667,1,0,0,1,0.0%,0.0%,100.0%
668,1,0,0,1,0.0%,0.0%,100.0%
669,1,0,0,1,0.0%,0.0%,100.0%
670,1,0,0,1,0.0%,0.0%,100.0%
672,1,0,0,1,0.0%,0.0%,100.0%
673,1,0,0,1,0.0%,0.0%,100.0%
683,1,0,0,1,0.0%,0.0%,100.0%
686,1,0,0,1,0.0%,0.0%,100.0%
688,1,0,0,1,0.0%,0.0%,100.0%
691,1,0,0,1,0.0%,0.0%,100.0%
693,1,0,0,1,0.0%,0.0%,100.0%
697,1,0,0,1,0.0%,0.0%,100.0%
698,1,0,0,1,0.0%,0.0%,100.0%
701,1,0,0,1,0.0%,0.0%,100.0%
703,1,0,0,1,0.0%,0.0%,100.0%
